Era	War	Death range	Date	Combatants	Location	Notes	Aliases	Description	Source
Ancient	Conquests of Cyrus the Great	100,000+	549 BC-530 BC	Persian Empire vs. various states	Middle East	Number given is the sum of all deaths in battle recorded by writers during this time period, does not take into account civilian deaths, the actual number may be much greater.	None	Cyrus II of Persia, commonly known as Cyrus the Great, and also called Cyrus the Elder by the Greeks, was the founder of the Achaemenid Empire, the first Persian Empire. Under his rule, the empire embraced all the previous civilized states of the ancient Near East, expanded vastly and eventually conquered most of Western Asia and much of Central Asia. From the Mediterranean Sea and Hellespont in the west to the Indus River in the east, Cyrus the Great created the largest empire the world had yet seen. Under his successors, the empire eventually stretched at its maximum extent from parts of the Balkans (Bulgaria-Paeonia and Thrace-Macedonia) and Eastern Europe proper in the west, to the Indus Valley in the east.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Greco-Persian Wars	73,800+	499 BC-449 BC	Greek City-States vs. Persian Empire	Greece		Persian Wars	The Greco-Persian Wars were a series of conflicts between the Achaemenid Empire and Greek city-states that started in 499 BC and lasted until 449 BC. The collision between the fractious political world of the Greeks and the enormous empire of the Persians began when Cyrus the Great conquered the Greek-inhabited region of Ionia in 547 BC. Struggling to control the independent-minded cities of Ionia, the Persians appointed tyrants to rule each of them. This would prove to be the source of much trouble for the Greeks and Persians alike.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Samnite Wars	33,500+	343 BC-290 BC	Roman Republic vs. Samnites	Italy	Number given is the sum of all deaths in battle recorded by Roman writers during this time period, does not take into account civilian deaths, the actual number may be much greater.	None	The First, Second, and Third Samnite Wars (343-341 BC, 326-304 BC, and 298-290 BC) were fought between the Roman Republic and the Samnites, who lived on a stretch of the Apennine Mountains south of Rome and north of the Lucanians. The first of these wars was the result of Rome's intervention to rescue the Campanian city of Capua from a Samnite attack. The second one was the result of Rome's intervention in the politics of the city of Naples and developed into a contest over the control of central and southern Italy. The third war also involved a struggle over the control of this part of Italy.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Wars of Alexander the Great	142,000+	336 BC-323 BC	Macedonian Empire and other Greek City-States vs. various states	Middle East / North Africa / Central Asia / India	Number given is the sum of all deaths in battle during these wars recorded by Greek writers, does not take into account civilian deaths, the actual number may be much greater.	None	The wars of Alexander the Great were fought by King Alexander III of Macedon ("The Great"), first against the Achaemenid Persian Empire under Darius III, and then against local chieftains and warlords as far east as Punjab, India (in modern history). By the time of his death, he had conquered most of the world known to the ancient Greeks. However, he failed to conquer all of South Asia. Although being successful as a military commander, he failed to provide any stable alternative to the Achaemenid Empire—his untimely death threw the vast territories he conquered into civil war.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Punic Wars	1,250,000-1,850,000	264 BC-146 BC	Roman Republic vs. Carthaginian Empire	Western Europe / North Africa		None	The Punic Wars were a series of three wars between 264 and 146 BC fought by the states of Rome and Carthage. The First Punic War broke out in Sicily in 264 BC as a result of Rome's expansionary attitude combined with Carthage's proprietary approach to the island. At the start of the war Carthage was the dominant power of the western Mediterranean, with an extensive maritime empire; while Rome was a rapidly expanding power in Italy, with a strong army but a weak navy. The fighting took place primarily on the Mediterranean island of Sicily and its surrounding waters, and also in North Africa, Corsica and Sardinia. It lasted 23 years, until 241 BC, when after immense materiel and human losses on both sides the Carthaginians were defeated. By the terms of the peace treaty Carthage paid large reparations and Sicily was annexed as a Roman province. The end of the war sparked a major but unsuccessful revolt within the Carthaginian Empire known as the Mercenary War.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	First Punic War	400,000+	264 BC-241 BC	Roman Republic vs. Carthaginian Empire	Southern Europe / North Africa	- Part of the Punic Wars		The First Punic War (264-241 BC) was the first of three wars fought between Carthage and Rome, the two main powers of the western Mediterranean in the early 3rd century BC. For 23 years, in the longest continuous conflict and greatest naval war of antiquity, the two powers struggled for supremacy. The wars were fought primarily on the Mediterranean island of Sicily and its surrounding waters, and also in North Africa. After immense material and human losses on both sides, the Carthaginians were defeated.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Second Punic War	770,000+	218 BC-201 BC	Roman Republic vs. Carthaginian Empire	Western Europe / North Africa	[1] - Part of the Punic Wars		The Second Punic War (218-201 BC) was the second of three wars fought between Carthage and Rome, the two main powers of the western Mediterranean in the 3rd century BC. For seventeen years, the two states struggled for supremacy, primarily in Italy and Iberia, but also on the islands of Sicily and Sardinia and, towards the end of the war, in North Africa. After immense material and human losses on both sides, the Carthaginians were defeated. Macedonia, Syracuse and several Numidian kingdoms were drawn into the fighting; and Iberian and Gallic forces fought on both sides. There were three main military theatres during the war: Italy, where the Carthaginian general Hannibal defeated the Roman legions repeatedly, with occasional subsidiary campaigns in Sicily, Sardinia and Greece; Iberia, where Hasdrubal, a younger brother of Hannibal, defended the Carthaginian colonial cities with mixed success until moving into Italy; and Africa, where the war was decided.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Third Punic War	150,000-250,000	149 BC-146 BC	Roman Republic vs. Carthaginian Empire	Tunisia	- Part of the Punic Wars		The Third Punic War (149-146 BC) was the third and last of the Punic Wars fought between Carthage and Rome. The war was fought entirely within Carthaginian territory, in modern northern Tunisia. When the Second Punic War ended in 201 BC, one of the terms of the peace treaty prohibited Carthage from waging war without Rome's permission. Rome's ally, King Masinissa of Numidia, exploited this to repeatedly raid and seize Carthaginian territory with impunity. In 149 BC Carthage sent an army, under Hasdrubal, against Masinissa, the treaty notwithstanding. The campaign ended in disaster as the Battle of Oroscopa ended with a Carthaginian defeat and the surrender of the Carthaginian army. Anti-Carthaginian factions in Rome used the illicit military action as a pretext to prepare a punitive expedition.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Kalinga War	150,000-200,000	262 BC-261 BC	Maurya Empire vs. State of Kalinga	India			The Kalinga War (ended c. 261 BCE) was fought in ancient India between the Maurya Empire under Ashoka and the state of Kalinga, an independent feudal kingdom located on the east coast, in the present-day state of Odisha and north parts of Andhra Pradesh. It is presumed that the battle was fought on Dhauli hills in Dhauli which is situated on the banks of Daya River. The Kalinga War included one of the largest and deadliest battles in Indian history. Kalinga did not have a king as it was culturally run without any.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
Ancient	Qin's Wars of Unification	700,000+	230 BC-221 BC	Qin state vs. Han, Zhao, Yan, Wei, Chu, Qi States	China	- Part of Warring States Period		Qin's wars of unification were a series of military campaigns launched in the late 3rd century BC by the Qin state against the other six major Chinese states — Han, Zhao, Yan, Wei, Chu and Qi. Between 247 BC and 221 BC, Qin had emerged as one of the most powerful of the Seven Warring States in China. In 230 BC, Ying Zheng, the King of Qin, unleashed the final campaigns of the Warring States period, setting out to conquer the remaining states one by one. Following the fall of Qi in 221 BC, China was unified under Qin control. Ying Zheng declared himself "Qin Shi Huang" (meaning "First Emperor of Qin") and established the Qin dynasty, becoming the first sovereign ruler of a unified China.	https://en.wikipedia.org/wiki/List_of_wars_by_death_toll
